,ID,well,formacion,E_Brent,D_Dec,year,FC_T
15,15,CAL01,C5,50,sin_fijo,0,"[('409.7815'), ('256.6721'), ('134.2947'), ('33.8849'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
16,16,CAL01,C5,60,sin_fijo,0,"[('636.1574'), ('445.3536'), ('293.1378'), ('167.7193'), ('65.801'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
17,17,CAL01,C5,70,sin_fijo,0,"[('862.5333'), ('634.0351'), ('451.9809'), ('301.5536'), ('179.5017'), ('78.7042'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
18,18,CAL01,C5,80,sin_fijo,0,"[('1088.9092'), ('822.7166'), ('610.824'), ('435.388'), ('293.2024'), ('175.7775'), ('78.5505'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
19,19,CAL01,C5,90,sin_fijo,0,"[('1315.2851'), ('1011.3981'), ('769.6671'), ('569.2223'), ('406.9031'), ('272.8508'), ('162.0231'), ('68.0557'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
20,20,CAL01,C5,100,sin_fijo,0,"[('1541.661'), ('1200.0795'), ('928.5102'), ('703.0566'), ('520.6037'), ('369.9242'), ('245.4957'), ('139.7272'), ('51.4768'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
21,21,CC01,INT_GUAFITA,40,Perfil,0,"[('1853.9619'), ('1309.515'), ('924.1136'), ('642.2386'), ('438.3232'), ('289.9441'), ('182.5574'), ('101.4263'), ('42.0599'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
22,22,CC01,INT_GUAFITA,50,Perfil,0,"[('2496.9195'), ('1776.9514'), ('1267.4125'), ('894.6318'), ('625.4602'), ('429.4136'), ('287.2718'), ('179.9501'), ('101.3352'), ('42.3987'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
23,23,CC01,INT_GUAFITA,60,Perfil,0,"[('3139.8772'), ('2244.3878'), ('1610.7114'), ('1147.0249'), ('812.5971'), ('568.8831'), ('391.9863'), ('258.4738'), ('160.6104'), ('87.3042'), ('34.1067'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
24,24,CC01,INT_GUAFITA,70,Perfil,0,"[('3782.8348'), ('2711.8242'), ('1954.0104'), ('1399.418'), ('999.734'), ('708.3526'), ('496.7007'), ('336.9976'), ('219.8857'), ('132.2096'), ('68.3336'), ('26.5003'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
25,25,CC01,INT_GUAFITA,80,Perfil,0,"[('4425.7925'), ('3179.2606'), ('2297.3093'), ('1651.8111'), ('1186.871'), ('847.8222'), ('601.4152'), ('415.5213'), ('279.161'), ('177.1151'), ('102.5606'), ('53.0922'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
26,26,CC01,INT_GUAFITA,90,Perfil,0,"[('5068.7502'), ('3646.697'), ('2640.6083'), ('1904.2043'), ('1374.0079'), ('987.2917'), ('706.1296'), ('494.0451'), ('338.4363'), ('222.0206'), ('136.7876'), ('79.6841'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
27,27,CC01,INT_GUAFITA,100,Perfil,0,"[('5711.7078'), ('4114.1334'), ('2983.9072'), ('2156.5974'), ('1561.1449'), ('1126.7612'), ('810.8441'), ('572.5688'), ('397.7116'), ('266.926'), ('171.0145'), ('106.2759'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
28,28,CC01,INT_GUAFITA,40,n_well,0,"[('1684.2879'), ('1142.0531'), ('744.971'), ('463.841'), ('249.3571'), ('108.5144'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
29,29,CC01,INT_GUAFITA,50,n_well,0,"[('2327.2456'), ('1609.4895'), ('1088.2699'), ('716.2341'), ('436.494'), ('247.984'), ('86.1908'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
30,30,CC01,INT_GUAFITA,60,n_well,0,"[('2970.2032'), ('2076.9259'), ('1431.5689'), ('968.6272'), ('623.631'), ('387.4535'), ('190.9052'), ('58.5549'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0'), ('0')]"
