,ID,well,campo,Socio,E_Brent,tipo_costo,P_D,FC_T
10,10,NW10NA,CANO_RONDON,sin_socio,50,pesimista,0,"[Decimal('0'), Decimal('5598.6567'), Decimal('-886.2282'), Decimal('3680.5013'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
11,11,NW10NA,CANO_RONDON,sin_socio,60,pesimista,0,"[Decimal('0'), Decimal('6694.3731'), Decimal('433.1701'), Decimal('4356.7934'), Decimal('2179.6987'), Decimal('1121.2684'), Decimal('503.0958'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
12,12,NW10NA,CANO_RONDON,sin_socio,70,pesimista,0,"[Decimal('0'), Decimal('7790.0895'), Decimal('1710.0894'), Decimal('4981.963'), Decimal('2500.6519'), Decimal('1293.167'), Decimal('585.6411'), Decimal('300.0812'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
13,13,NW10NA,CANO_RONDON,sin_socio,80,pesimista,0,"[Decimal('0'), Decimal('8885.8058'), Decimal('2987.0086'), Decimal('5607.1327'), Decimal('2821.6051'), Decimal('1465.0655'), Decimal('668.1863'), Decimal('346.6943'), Decimal('184.3526'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
14,14,NW10NA,CANO_RONDON,sin_socio,90,pesimista,0,"[Decimal('0'), Decimal('9981.5222'), Decimal('4263.9278'), Decimal('6232.3023'), Decimal('3142.5584'), Decimal('1636.9641'), Decimal('750.7316'), Decimal('393.3075'), Decimal('213.1279'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
15,15,NW10NA,CANO_RONDON,sin_socio,50,pesimista,0.1,"[Decimal('0'), Decimal('5598.6567'), Decimal('-116.8232'), Decimal('3668.8434'), Decimal('1820.4352'), Decimal('909.0724'), Decimal('386.0565'), Decimal('174.2492'), Decimal('65.1833'), Decimal('-255.2223'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
16,16,NW10NA,CANO_RONDON,sin_socio,60,pesimista,0.1,"[Decimal('0'), Decimal('6694.3731'), Decimal('1160.0961'), Decimal('4294.013'), Decimal('2147.4681'), Decimal('1104.0061'), Decimal('494.8065'), Decimal('240.8394'), Decimal('106.2908'), Decimal('-252.6096'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
17,17,NW10NA,CANO_RONDON,sin_socio,70,pesimista,0.1,"[Decimal('0'), Decimal('7790.0895'), Decimal('2437.0153'), Decimal('4919.1826'), Decimal('2468.4213'), Decimal('1275.9047'), Decimal('577.3518'), Decimal('295.4002'), Decimal('147.3984'), Decimal('-249.9969'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
18,18,NW10NA,CANO_RONDON,sin_socio,80,pesimista,0.1,"[Decimal('0'), Decimal('8885.8058'), Decimal('3713.9345'), Decimal('5544.3523'), Decimal('2789.3746'), Decimal('1447.8032'), Decimal('659.897'), Decimal('342.0134'), Decimal('181.4629'), Decimal('-247.3841'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
19,19,NW10NA,CANO_RONDON,sin_socio,90,pesimista,0.1,"[Decimal('0'), Decimal('9981.5222'), Decimal('4990.8537'), Decimal('6169.5219'), Decimal('3110.3278'), Decimal('1619.7018'), Decimal('742.4423'), Decimal('388.6265'), Decimal('210.2382'), Decimal('-244.7714'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0')]"
